"OBJECTID","STOPNAME","TRAPEZESTOPABBR","RUCUSSTOPABBR","STOPID","LATITUDE","LONGITUDE","ACCESSIBILITYMASK","ATSTREET","ONSTREET","POSITION","ORIENTATION","SERVICEPLANNINGSTOPTYPE","SHELTER","INSERT_TIMESTAMP","SDE_ID","SIGNUPID","SUPERVISOR_DISTRICT","shape","data_as_of","data_loaded_at"
"105259","Powell St&Sacramento St W-MI","POWLSAC1","POWLSACO","6074","37.79296","-122.409443",,"SACRAMENTO ST","POWELL ST","MI","WE",,"0","1757027498000","16414241","150","3","POINT (-122.409443 37.79296)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103511","Pacific Ave&Powell St SW-NS/PS","PACFPOW0","PACFPOWL","5853","37.796405","-122.410175",,"POWELL ST","PACIFIC AVE","NS","SW",,"0","1757027498000","16412782","150","3","POINT (-122.410175 37.796405)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"104171","513 Parnassus UCSF Parnassus SW-NS/BZ","PARN513",,"7688","37.763299","-122.458208",,"03RD AVE","PARNASSUS AVE",,,,"0","1757027498000","16419266","150","7","POINT (-122.458208 37.763299)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103627","Lawton St&Lomita Ave NE-NS/SB","LAWTLMT0","LAWTLMTA","4860","37.75913","-122.47227",,"LOMITA AVE","LAWTON ST","NS","NE","FL","0","1757027498000","16413525","150","7","POINT (-122.47227 37.75913)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103347","Jackson St&Steiner St SW-NS/BZ","JACKSTE1","JACKSTEI","5163","37.792201","-122.43632",,"STEINER ST","JACKSON ST","NS","SW","BZ","0","1757027498000","16412139","150","2","POINT (-122.43632 37.792201)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103562","O'Farrell St&Powell St SW-NS/BZ","OFARPOW1","OFARPOWL","5817","37.786322","-122.40814",,"CYRIL MAGNIN ST","OFARRELL ST","NS","SW","BZ","0","1757027498000","16413197","150","3","POINT (-122.40814 37.786322)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"102201","3rd St&Carroll Ave N-NS/BZ",".3STCAR0","3STCARR","3115","37.72567","-122.3943",,"CARROLL AVE","03RD ST","NS","NO","BZ","0","1757027498000","16408716","150","10","POINT (-122.3943 37.72567)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"104770","Irving St&8th Ave SW-NS/BB","IRVG 8AV",,"7996","37.764038","-122.465428",,"08TH AVE","IRVING ST",,,,"0","1757027498000","16419830","150","7","POINT (-122.465428 37.764038)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"104791","25th Ave&California St SW-FS/BZ","25AVCAL2",,"8135","37.78361","-122.485079",,"CALIFORNIA ST","25TH AVE",,,,"0","1757027498000","16419906","150","1","POINT (-122.485079 37.78361)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103802","Persia Ave&Moscow St W-NS","PERSMSC0","PERSMSCW","5915","37.719702","-122.428963",,"MOSCOW ST","PERSIA AVE","NS","WE",,"0","1757027498000","16414419","150","11","POINT (-122.428963 37.719702)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"104937","Jones St&Turk ST SW-FS/PS","JONETURK",,"8050","37.782959","-122.412463",,"TURK ST","JONES ST",,,,"0","1757027498000","16419613","150","5","POINT (-122.412463 37.782959)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"105106","Leland Ave&Bayshore Blvd SW-NS/BZ","LELDBSH0",,"7329","37.711138","-122.403794",,"BAYSHORE BLVD","LELAND AVE",,,,"0","1757027498000","16417055","150","10","POINT (-122.403794 37.711138)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"105001","Sutter St&Larkin St NW-FS/BZ","SUTTLAR0","SUTTLARK","6597","37.788011","-122.418536",,"LARKIN ST","SUTTER ST","FS","NW","BZ","0","1757027498000","16416980","150","3","POINT (-122.418536 37.788011)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"104212","Sloat Blvd&23rd Ave SW-NS/BZ","SLOA23A1","SLOA23AV","6439","37.734404","-122.479625",,"23RD AVE","SLOAT BLVD","NS","SW","BZ","0","1757027498000","16416248","150","4","POINT (-122.479625 37.734404)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"102425","Ashbury St&Clifford Ter N-NS/PS","ASHBCLI0","ASHBCLIF","3657","37.764298","-122.446095",,"CLIFFORD TER","ASHBURY ST","NS","NO",,"0","1757027498000","16409436","150","8","POINT (-122.446095 37.764298)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"105103","Ocean Ave & Junipero Serra Blvd SE","OCENJ S1","OCENJ S","5792","37.730952","-122.471686",,"EUCALYPTUS DR","JUNIPERO SERRA BLVD","FS","SE",,"0","1757027498000","16415964","150","7","POINT (-122.471686 37.730952)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"105137","Lincoln Way&30th Ave SE-FS/BZ","LWAY30A1","LWAY30AV","5319","37.764881","-122.488714",,"30TH AVE","LINCOLN WY","FS","SE","BZ","0","1757027498000","16418935","150","4","POINT (-122.488714 37.764881)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103010","Evans Ave&Middle Point Rd W-NS/SB","EVANMDP0","EVANMDPT","4552","37.737672","-122.379252",,"MIDDLE POINT RD","EVANS AVE","NS","WE",,"0","1757027498000","16410991","150","10","POINT (-122.379252 37.737672)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"104722","Bacon St&Somerset St SW-NS","BACNSOM1","BACNSOME","3021","37.72654","-122.40766",,"SOMERSET ST","BACON ST","NS","SW","FL","0","1757027498000","16416692","150","9","POINT (-122.40766 37.72654)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"104821","Steiner St&Green St W-MI/PS","STEIGRE0","STEIGREN","6488","37.79606","-122.43707",,"GREEN ST","STEINER ST","MI","WE",,"0","1757027498000","16416774","150","2","POINT (-122.43707 37.79606)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103373","Mission St&16th St NE-FS/BZ","MISS16S1","MISS16ST","5551","37.765125","-122.419668",,"16TH ST","MISSION ST","FS","NE","BZ","0","1757027498000","16412604","150","9","POINT (-122.419668 37.765125)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"105057","Crissy Field Terminal NS SW/PS","CRFD.TCI",,"8153","37.802778","-122.461552",,,,,,,"0","1757027498000","16419939","150","2","POINT (-122.461552 37.802778)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103566","Olympia Way&Panorama Dr NW-FS/SB","OLYMPNR1","OLYMPNRM","5824","37.751298","-122.452271",,"PANORAMA DR","OLYMPIA WAY","FS","NW",,"0","1757027498000","16413203","150","7","POINT (-122.452271 37.751298)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103257","Mission St&Russia Ave S-NS/BZ","MISSRUS0","MISSRUSS","5615","37.721469","-122.437117",,"RUSSIA AVE","MISSION ST","NS","SO","BZ","0","1757027498000","16412251","150","11","POINT (-122.437117 37.721469)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"104395","Sagamore St&Orizaba Ave SE-FS","SAGAORI1","SAGAORIZ","6324","37.71128","-122.46198",,"ORIZABA AVE","SAGAMORE ST","FS","SE","FL","0","1757027498000","16415213","150","11","POINT (-122.46198 37.71128)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103279","Haight St&Fillmore St NW-FS/BB","HAITFIL0","HAITFILL","4952","37.77214","-122.43076",,"FILLMORE ST","HAIGHT ST","FS","NW","BZ","0","1757027498000","16411941","150","5","POINT (-122.43076 37.77214)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103708","Hyde St&Grove St W-MB/BZ","HYDEGROV","HYDEFULT","5071","37.779346","-122.415158",,"FULTON ST","HYDE ST","MB","W","BZ","0","1757027498000","16413785","150","5","POINT (-122.415158 37.779346)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"102335","19th Ave&Eucalyptus Dr SW-FS-BB","19AVEUC0","19AVEUCA","3354","37.730813","-122.475012",,"OCEAN AVE","19TH AVE","NS","NW","BZ","0","1757027498000","16409197","150","4","POINT (-122.475012 37.730813)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103789","22nd St & Iowa St SE-NS/BZ","22STIOWA","22STIOWA","3439","37.757674","-122.392308",,"IOWA ST","22ND ST","FS","SE",,"0","1757027498000","16414396","150","10","POINT (-122.392308 37.757674)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"104957","201 Bayshore Blvd E-MB/BB","201 BSHR",,"7887","37.744616","-122.404187",,"FLOWER ST","BAY SHORE BLVD",,,,"0","1757027498000","16419687","150","10","POINT (-122.404187 37.744616)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"102660","Castro St&17TH St SE-NS/BZ","CTRO17S1","CTRO17ST","4313","37.76237","-122.43508",,"17TH ST","CASTRO ST","NS","SE","BZ","0","1757027498000","16410103","150","8","POINT (-122.43508 37.76237)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"105250","Sloat Blvd&Clearfield Dr SW-NS/BZ","SLOACLR1","SLOACLRF","6454","37.733847","-122.491595",,"CHURCH ACCESS RD","SLOAT BLVD","NS","SW","BZ","0","1757027498000","16414598","150","4","POINT (-122.491595 37.733847)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"104101","Sansome St&California St NW-NS/BZ","SANSCAL1","SANSCALI","6327","37.79318","-122.40122",,"CALIFORNIA ST","SANSOME ST","NS","NW","BZ","0","1757027498000","16416100","150","3","POINT (-122.40122 37.79318)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103678","Fulton St&4TH Ave SE-FS/BZ","FULT 4A1","FULT 4AV","4731","37.77384","-122.46125",,"04TH AVE","FULTON ST","FS","SE","BZ","0","1757027498000","16414076","150","1","POINT (-122.46125 37.77384)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103761","Sacramento St&Polk St NW-FS/BZ","SACOPOL0","SACOPOLK","6311","37.79155","-122.42118",,"POLK ST","SACRAMENTO ST","FS","NW","BZ","0","1757027498000","16413985","150","3","POINT (-122.42118 37.79155)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"102915","Diamond St&Moffitt St NE-FS/PS","DIAMMOF1","DIAMMOFT","4401","37.73889","-122.4346",,"MOFFITT ST","DIAMOND ST","FS","NE","FL","0","1757027498000","16410728","150","8","POINT (-122.4346 37.73889)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"102818","Divisadero St&Clay St NE-FS/BZ","DIVICLA1","DIVICLAY","4412","37.789977","-122.440741",,"CLAY ST","DIVISADERO ST","FS","NE","BZ","0","1757027498000","16410483","150","2","POINT (-122.440741 37.789977)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
