"Store Name","Address","Address 2","City","State","Zip","County","Store Type","Incentive Program","Grantee Name","Point Source","Selected Location"
"store_name","address","address2","city","state","zip5","county","store_type","incentive_program","grantee_name","Source","Location"
"Yangtze Market","2026 Mission St","","San Francisco","CA","94110","SAN FRANCISCO","Specialty Store","","","USDA","San Francisco (City, 2020)"
"Yellowstone Market","716 Ofarrell St","","San Francisco","CA","94109","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Yibo Chen","1415 Stockton St","","San Francisco","CA","94133","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Yinxing Food Co","661 Clement St","","San Francisco","CA","94118","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Yogi Food Market #62","908 Sutter St","","San Francisco","CA","94109","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Young Ellis Produce","396 Ellis St","","San Francisco","CA","94102","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Yummy Pizza SF","709 Ofarrell St","","San Francisco","CA","94109","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Z SOUL CAFE","295 Eddy St","","San Francisco","CA","94102","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"McDonald's #3171","609 Market St","","San Francisco","CA","94105","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"McDonald's 3228","2805 Mission St","","San Francisco","CA","94110","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"McDonald's 7413","345 Bay Shore Blvd","","San Francisco","CA","94124","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Mei Shen","808 Grant Ave","","San Francisco","CA","94108","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Mei Shen Ginseng Corporation","2206 Irving St","","San Francisco","CA","94122","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Mei's Groceries","1037 Stockton St","","San Francisco","CA","94108","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Mi Duo Duo Market","2309 Irving St","","San Francisco","CA","94122","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Mi Ranchito Produce","2169 Mission St","","San Francisco","CA","94110","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Mi Rancho Supermarket 1","5900 3rd St","C-2001","San Francisco","CA","94124","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"Mi Tierra Adelitas","2023 Mission St","","San Francisco","CA","94110","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Mid City Market","868 Geary St","","San Francisco","CA","94109","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Mike's Market","2200 Silver Ave","","San Francisco","CA","94124","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Mikes Liquors & Grocerie","2499 Mission St","","San Francisco","CA","94110","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Milan Pizza","606 Geary St","","San Francisco","CA","94102","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Miss Q's Convenience Llc","838 Washington St","","San Francisco","CA","94108","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Mission Community Market 38-024","84 Bartlett St","","San Francisco","CA","94110","SAN FRANCISCO","Farmers and Markets","","California Department of Food and Agriculture","USDA","San Francisco (City, 2020)"
"Mission Dolores Market","3698 20th St","","San Francisco","CA","94110","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Mission Food Center Inc","2366 Mission St","","San Francisco","CA","94110","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Mission Martco 356457","5098 Mission St","","San Francisco","CA","94112","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Mission Shell 170","3550 Mission St","","San Francisco","CA","94110","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
